image_id,true_label,predicted_label_m12,predicted_label_m13,transition_type
16471_right,0,2,0,corrected_by_m13
16558_left,1,1,0,introduced_by_m13
16571_left,0,1,0,corrected_by_m13
16691_left,0,1,0,corrected_by_m13
16759_left,3,3,2,introduced_by_m13
16858_left,0,0,2,introduced_by_m13
16937_right,2,3,2,corrected_by_m13
17154_left,0,1,0,corrected_by_m13
17234_right,1,1,0,introduced_by_m13
17308_right,0,1,0,corrected_by_m13
17331_left,2,2,0,introduced_by_m13
17522_right,2,3,2,corrected_by_m13
17591_left,0,2,0,corrected_by_m13
17608_right,2,4,2,corrected_by_m13
17615_left,1,1,0,introduced_by_m13
17840_right,1,1,0,introduced_by_m13
17934_right,1,1,2,introduced_by_m13
18010_left,0,1,0,corrected_by_m13
18392_right,1,1,0,introduced_by_m13
18416_right,3,3,2,introduced_by_m13
18487_right,2,0,2,corrected_by_m13
18517_left,0,1,0,corrected_by_m13
18528_left,1,1,0,introduced_by_m13
18573_right,3,3,2,introduced_by_m13
18574_left,0,1,0,corrected_by_m13
18736_right,0,2,0,corrected_by_m13
18819_right,3,4,3,corrected_by_m13
19096_left,0,1,0,corrected_by_m13
19261_left,2,2,1,introduced_by_m13
19309_right,2,2,0,introduced_by_m13
19356_left,0,1,0,corrected_by_m13
19516_left,2,2,1,introduced_by_m13
19516_right,2,2,1,introduced_by_m13
19586_right,3,3,4,introduced_by_m13
19728_right,0,1,0,corrected_by_m13
19810_left,0,1,0,corrected_by_m13
19877_right,0,2,0,corrected_by_m13
20087_left,0,2,0,corrected_by_m13
20125_right,0,2,0,corrected_by_m13
20244_left,2,3,2,corrected_by_m13
20244_right,2,3,2,corrected_by_m13
20569_right,0,1,0,corrected_by_m13
20674_right,2,2,0,introduced_by_m13
20799_left,2,3,2,corrected_by_m13
20799_right,2,4,2,corrected_by_m13
20939_left,3,3,2,introduced_by_m13
21034_right,0,0,2,introduced_by_m13
21124_left,0,1,0,corrected_by_m13
21349_left,0,1,0,corrected_by_m13
21973_right,1,1,0,introduced_by_m13
21998_left,1,2,1,corrected_by_m13
22063_left,0,1,0,corrected_by_m13
22491_left,2,2,1,introduced_by_m13
22556_right,0,2,0,corrected_by_m13
22589_right,2,2,3,introduced_by_m13
22661_right,2,2,0,introduced_by_m13
22930_left,3,3,2,introduced_by_m13
22930_right,3,3,2,introduced_by_m13
22936_right,0,0,1,introduced_by_m13
23132_left,2,0,2,corrected_by_m13
23132_right,2,2,0,introduced_by_m13
23422_left,4,3,4,corrected_by_m13
23627_right,2,2,3,introduced_by_m13
23734_left,0,2,0,corrected_by_m13
23997_right,0,0,2,introduced_by_m13
24127_right,2,3,2,corrected_by_m13
24156_left,0,1,0,corrected_by_m13
24156_right,0,1,0,corrected_by_m13
24550_left,2,3,2,corrected_by_m13
24996_left,1,1,0,introduced_by_m13
25096_right,0,1,0,corrected_by_m13
25154_right,1,1,0,introduced_by_m13
25916_right,2,3,2,corrected_by_m13
25949_left,2,1,2,corrected_by_m13
25949_right,2,2,0,introduced_by_m13
26040_left,0,1,0,corrected_by_m13
26046_right,0,1,0,corrected_by_m13
26553_right,3,2,3,corrected_by_m13
26778_right,0,1,0,corrected_by_m13
26820_left,0,0,2,introduced_by_m13
26919_right,2,2,0,introduced_by_m13
27042_right,0,1,0,corrected_by_m13
27426_right,1,1,0,introduced_by_m13
27617_left,0,0,2,introduced_by_m13
27641_left,0,1,0,corrected_by_m13
27722_left,2,2,0,introduced_by_m13
27826_left,0,1,0,corrected_by_m13
27893_right,2,3,2,corrected_by_m13
28093_left,3,4,3,corrected_by_m13
28295_right,2,2,1,introduced_by_m13
28579_right,1,1,2,introduced_by_m13
28599_left,0,1,0,corrected_by_m13
29293_right,1,1,0,introduced_by_m13
29371_right,0,1,0,corrected_by_m13
29490_right,3,4,3,corrected_by_m13
29640_left,2,3,2,corrected_by_m13
29730_right,2,1,2,corrected_by_m13
30051_right,0,0,1,introduced_by_m13
30112_right,0,2,0,corrected_by_m13
30240_left,0,2,0,corrected_by_m13
30334_left,1,2,1,corrected_by_m13
30448_left,0,0,2,introduced_by_m13
30607_right,0,0,1,introduced_by_m13
30892_left,2,3,2,corrected_by_m13
30958_left,0,2,0,corrected_by_m13
31207_left,0,2,0,corrected_by_m13
31409_left,0,1,0,corrected_by_m13
31428_left,0,0,4,introduced_by_m13
31640_left,0,2,0,corrected_by_m13
31770_right,0,1,0,corrected_by_m13
32040_right,0,0,2,introduced_by_m13
32047_left,0,1,0,corrected_by_m13
32130_left,1,1,0,introduced_by_m13
32302_left,2,2,0,introduced_by_m13
32334_right,2,3,2,corrected_by_m13
32478_right,0,1,0,corrected_by_m13
32510_right,0,1,0,corrected_by_m13
32964_left,1,1,2,introduced_by_m13
33019_left,0,1,0,corrected_by_m13
33092_left,0,1,0,corrected_by_m13
33381_left,0,2,0,corrected_by_m13
33381_right,0,1,0,corrected_by_m13
33394_right,0,0,2,introduced_by_m13
33601_left,0,1,0,corrected_by_m13
33601_right,0,1,0,corrected_by_m13
33746_left,2,4,2,corrected_by_m13
33751_left,2,3,2,corrected_by_m13
33794_left,2,2,0,introduced_by_m13
34090_left,0,1,0,corrected_by_m13
34125_left,2,2,4,introduced_by_m13
34125_right,2,2,4,introduced_by_m13
34584_right,2,2,0,introduced_by_m13
35151_right,2,2,0,introduced_by_m13
35349_right,0,1,0,corrected_by_m13
35371_left,2,2,3,introduced_by_m13
35441_right,0,1,0,corrected_by_m13
35595_left,0,2,0,corrected_by_m13
35855_left,2,1,2,corrected_by_m13
35936_right,2,1,2,corrected_by_m13
36128_right,0,1,0,corrected_by_m13
36158_left,0,0,1,introduced_by_m13
36159_right,0,1,0,corrected_by_m13
36162_left,1,1,0,introduced_by_m13
36292_left,0,1,0,corrected_by_m13
36363_right,2,3,2,corrected_by_m13
36366_left,0,1,0,corrected_by_m13
36367_left,1,0,1,corrected_by_m13
36367_right,1,1,0,introduced_by_m13
36479_right,0,2,0,corrected_by_m13
36577_right,2,2,3,introduced_by_m13
36625_right,0,1,0,corrected_by_m13
36806_left,0,2,0,corrected_by_m13
36898_right,0,1,0,corrected_by_m13
37339_right,3,2,3,corrected_by_m13
37451_right,0,1,0,corrected_by_m13
37773_left,2,3,2,corrected_by_m13
37827_left,0,1,0,corrected_by_m13
37827_right,0,1,0,corrected_by_m13
37837_left,0,1,0,corrected_by_m13
37854_left,0,1,0,corrected_by_m13
38780_left,0,1,0,corrected_by_m13
38852_right,2,2,0,introduced_by_m13
38933_right,0,1,0,corrected_by_m13
39036_right,2,1,2,corrected_by_m13
39455_right,3,3,2,introduced_by_m13
39702_left,0,0,2,introduced_by_m13
39716_left,0,1,0,corrected_by_m13
39716_right,0,0,1,introduced_by_m13
39766_right,0,1,0,corrected_by_m13
39826_right,1,1,0,introduced_by_m13
39978_right,1,1,0,introduced_by_m13
40101_left,2,3,2,corrected_by_m13
40101_right,2,3,2,corrected_by_m13
40247_right,0,1,0,corrected_by_m13
40423_left,1,1,0,introduced_by_m13
40435_left,0,1,0,corrected_by_m13
40465_right,0,0,2,introduced_by_m13
40758_left,0,1,0,corrected_by_m13
40823_left,0,1,0,corrected_by_m13
40823_right,1,0,1,corrected_by_m13
40890_left,0,0,1,introduced_by_m13
40916_right,2,2,3,introduced_by_m13
40961_left,0,2,0,corrected_by_m13
40974_right,0,0,1,introduced_by_m13
41103_right,0,1,0,corrected_by_m13
41176_left,0,0,2,introduced_by_m13
41279_right,0,1,0,corrected_by_m13
41306_left,0,1,0,corrected_by_m13
41776_right,0,1,0,corrected_by_m13
41898_right,0,1,0,corrected_by_m13
42416_right,2,1,2,corrected_by_m13
42449_right,0,1,0,corrected_by_m13
42498_left,2,2,0,introduced_by_m13
42507_right,0,1,0,corrected_by_m13
42510_left,2,2,0,introduced_by_m13
42651_right,2,2,1,introduced_by_m13
43391_right,2,3,2,corrected_by_m13
43713_right,0,1,0,corrected_by_m13
44223_left,2,1,2,corrected_by_m13
